Vstep,Idif
V,uA
-0.6,-9.656874521146204e-06
-0.595,1.5700599588333107e-05
-0.59,2.0304042694340773e-05
-0.585,2.2060502192341947e-05
-0.58,2.2946463352861512e-05
-0.575,2.3467241953076644e-05
-0.57,2.380517013741305e-05
-0.565,2.404056983830498e-05
-0.5599999999999999,2.421387788193096e-05
-0.5549999999999999,2.4347545342119494e-05
-0.5499999999999999,2.445504319340848e-05
-0.5449999999999999,2.454501085725187e-05
-0.5399999999999999,2.4623344639680128e-05
-0.5349999999999999,2.4694329381378835e-05
-0.5299999999999999,2.476129319519942e-05
-0.5249999999999999,2.482701121580938e-05
-0.5199999999999999,2.4893972084356444e-05
-0.5149999999999999,2.4964567912412626e-05
-0.5099999999999999,2.504124205007436e-05
-0.5049999999999999,2.51266152082131e-05
-0.4999999999999999,2.5223603043145065e-05
-0.4949999999999999,2.5335534176929287e-05
-0.4899999999999999,2.546627526689061e-05
-0.4849999999999999,2.5620368330320757e-05
-0.47999999999999987,2.5803184591780307e-05
-0.47499999999999987,2.6021098326271076e-05
-0.46999999999999986,2.6281683256566818e-05
-0.46499999999999986,2.6593932761752898e-05
-0.45999999999999985,2.6968503159474162e-05
-0.45499999999999985,2.7417976256645987e-05
-0.44999999999999984,2.795713274802921e-05
-0.44499999999999984,2.860322130457645e-05
-0.43999999999999984,2.9376198684434893e-05
-0.43499999999999983,3.0298903277094662e-05
-0.4299999999999998,3.139710770001996e-05
-0.4249999999999998,3.269937546626066e-05
-0.4199999999999998,3.4236623436834576e-05
-0.4149999999999998,3.604126868233777e-05
-0.4099999999999998,3.8145821183305107e-05
-0.4049999999999998,4.058078182434972e-05
-0.3999999999999998,4.3371731636332636e-05
-0.3949999999999998,4.653556912647167e-05
-0.3899999999999998,5.007598235119097e-05
-0.3849999999999998,5.3978436593560604e-05
-0.3799999999999998,5.8205202672051914e-05
-0.3749999999999998,6.269120040101562e-05
-0.3699999999999998,6.734160936242753e-05
-0.36499999999999977,7.203220980174065e-05
-0.35999999999999976,7.661318271916936e-05
-0.35499999999999976,8.091660771210175e-05
-0.34999999999999976,8.476723571059809e-05
-0.34499999999999975,8.799545458822107e-05
-0.33999999999999975,9.045090419645869e-05
-0.33499999999999974,9.201506142336667e-05
-0.32999999999999974,9.261130638643013e-05
-0.32499999999999973,9.221138597688511e-05
-0.31999999999999973,9.083766408366336e-05
-0.3149999999999997,8.856099336966911e-05
-0.3099999999999997,8.549444998916474e-05
-0.3049999999999997,8.178357518437296e-05
-0.2999999999999997,7.759417535206206e-05
-0.2949999999999997,7.309908092517036e-05
-0.2899999999999997,6.846543498581579e-05
-0.2849999999999997,6.384397234551005e-05
-0.2799999999999997,5.936134690076742e-05
-0.2749999999999997,5.5115970112467425e-05
-0.2699999999999997,5.117720600938432e-05
-0.2649999999999997,4.758728882857077e-05
-0.2599999999999997,4.436507777842465e-05
-0.25499999999999967,4.1510740732452535e-05
-0.24999999999999967,3.9010602303031364e-05
-0.24499999999999966,3.684161627592631e-05
-0.23999999999999966,3.497515371170291e-05
-0.23499999999999965,3.337998976151264e-05
-0.22999999999999965,3.202450615041509e-05
-0.22499999999999964,3.087820407136215e-05
-0.21999999999999964,2.9912655807910196e-05
-0.21499999999999964,2.9102027280545458e-05
-0.20999999999999963,2.842329069746776e-05
-0.20499999999999963,2.7856226020963205e-05
-0.19999999999999962,2.738328805954832e-05
-0.19499999999999962,2.6989395967059206e-05
-0.1899999999999996,2.666168520579438e-05
-0.1849999999999996,2.63892489122546e-05
-0.1799999999999996,2.6162885796478516e-05
-0.1749999999999996,2.597486466636171e-05
-0.1699999999999996,2.581871080434039e-05
-0.1649999999999996,2.5689016193930803e-05
-0.1599999999999996,2.5581273547042678e-05
-0.15499999999999958,2.549173286602762e-05
